OA11CD,WD11CD,WD11NM,WD11NMW,SMPOPIND,PERCENTAGE_BF,LAD11CD,LAD11NM,LAD11NMW,ObjectId
E00145774,E05006576,Cholsey and Wallingford South,,0,100,E07000179,South Oxfordshire,,138009
E00145775,E05006576,Cholsey and Wallingford South,,0,100,E07000179,South Oxfordshire,,138015
E00145776,E05006576,Cholsey and Wallingford South,,0,100,E07000179,South Oxfordshire,,138021
E00145777,E05006576,Cholsey and Wallingford South,,0,100,E07000179,South Oxfordshire,,138027
E00145723,E05006572,Brightwell,,0,100,E07000179,South Oxfordshire,,138031
E00145678,E05006569,Aston Rowant,,0,100,E07000179,South Oxfordshire,,138079
E00145778,E05006576,Cholsey and Wallingford South,,0,100,E07000179,South Oxfordshire,,138084
E00145679,E05006569,Aston Rowant,,0,100,E07000179,South Oxfordshire,,138085
E00145724,E05006572,Brightwell,,0,100,E07000179,South Oxfordshire,,138090
E00145779,E05006576,Cholsey and Wallingford South,,0,100,E07000179,South Oxfordshire,,138091
E00145680,E05006569,Aston Rowant,,0,100,E07000179,South Oxfordshire,,138092
E00145725,E05006572,Brightwell,,0,100,E07000179,South Oxfordshire,,138097
E00145681,E05006569,Aston Rowant,,0,100,E07000179,South Oxfordshire,,138098
E00145780,E05006576,Cholsey and Wallingford South,,0,100,E07000179,South Oxfordshire,,138099
E00145727,E05006572,Brightwell,,0,100,E07000179,South Oxfordshire,,138104
E00145682,E05006569,Aston Rowant,,0,100,E07000179,South Oxfordshire,,138105
E00145781,E05006576,Cholsey and Wallingford South,,0,100,E07000179,South Oxfordshire,,138106
E00145729,E05006572,Brightwell,,0,100,E07000179,South Oxfordshire,,138111
E00145683,E05006569,Aston Rowant,,0,100,E07000179,South Oxfordshire,,138112
E00145783,E05006576,Cholsey and Wallingford South,,0,100,E07000179,South Oxfordshire,,138113
E00145684,E05006569,Aston Rowant,,0,100,E07000179,South Oxfordshire,,138154
E00145685,E05006570,Benson,,0,100,E07000179,South Oxfordshire,,138158
E00145730,E05006572,Brightwell,,0,100,E07000179,South Oxfordshire,,138161
E00145686,E05006570,Benson,,0,100,E07000179,South Oxfordshire,,138163
E00145731,E05006572,Brightwell,,0,100,E07000179,South Oxfordshire,,138166
E00145732,E05006572,Brightwell,,0,100,E07000179,South Oxfordshire,,138167
E00173188,E05006572,Brightwell,,0,100,E07000179,South Oxfordshire,,138168
E00145733,E05006573,Chalgrove,,0,100,E07000179,South Oxfordshire,,138169
E00145734,E05006573,Chalgrove,,0,100,E07000179,South Oxfordshire,,138170
E00145735,E05006573,Chalgrove,,0,100,E07000179,South Oxfordshire,,138171
E00145736,E05006573,Chalgrove,,0,100,E07000179,South Oxfordshire,,138172
E00145737,E05006573,Chalgrove,,0,100,E07000179,South Oxfordshire,,138173
E00145738,E05006573,Chalgrove,,0,100,E07000179,South Oxfordshire,,138174
E00145739,E05006573,Chalgrove,,0,100,E07000179,South Oxfordshire,,138175
E00145740,E05006573,Chalgrove,,0,100,E07000179,South Oxfordshire,,138176
E00145741,E05006573,Chalgrove,,0,100,E07000179,South Oxfordshire,,138177
E00145742,E05006574,Chiltern Woods,,0,100,E07000179,South Oxfordshire,,138178
E00145743,E05006574,Chiltern Woods,,0,100,E07000179,South Oxfordshire,,138179
E00145744,E05006574,Chiltern Woods,,0,100,E07000179,South Oxfordshire,,138180
E00145745,E05006574,Chiltern Woods,,0,100,E07000179,South Oxfordshire,,138181
E00145746,E05006574,Chiltern Woods,,0,100,E07000179,South Oxfordshire,,138182
E00145747,E05006574,Chiltern Woods,,0,100,E07000179,South Oxfordshire,,138183
E00145748,E05006574,Chiltern Woods,,0,100,E07000179,South Oxfordshire,,138184
E00145749,E05006574,Chiltern Woods,,0,100,E07000179,South Oxfordshire,,138185
E00145750,E05006575,Chinnor,,0,100,E07000179,South Oxfordshire,,138186
E00145751,E05006575,Chinnor,,0,100,E07000179,South Oxfordshire,,138187
